"ITTER107","Territory","TIPO_DATO_FOL","Data type","SEXISTAT1","Gender","ETA1","Age class","TIME","Select time","Value","Flag Codes","Flags"
"ITD5","Emilia-Romagna","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q1","Q1-2023",3.61017,,
"ITD5","Emilia-Romagna","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q2","Q2-2023",3.946473,,
"ITD5","Emilia-Romagna","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q3","Q3-2023",4.237886,,
"ITD5","Emilia-Romagna","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q4","Q4-2023",3.727789,,
"ITE4","Lazio","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023","2023",7.172507,,
"ITE4","Lazio","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q1","Q1-2023",7.569366,,
"ITE4","Lazio","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q2","Q2-2023",6.771009,,
"ITE4","Lazio","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q3","Q3-2023",6.678808,,
"ITE4","Lazio","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q4","Q4-2023",7.663526,,
"ITD5","Emilia-Romagna","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023","2023",6.243929,,
"ITD5","Emilia-Romagna","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q1","Q1-2023",6.308663,,
"ITD5","Emilia-Romagna","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q2","Q2-2023",5.993386,,
"ITD5","Emilia-Romagna","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q3","Q3-2023",6.68263,,
"ITD5","Emilia-Romagna","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q4","Q4-2023",5.993486,,
"ITG1","Sicilia","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023","2023",14.444004,,
"ITG1","Sicilia","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q1","Q1-2023",16.029226,,
"ITG1","Sicilia","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q2","Q2-2023",14.482798,,
"ITG1","Sicilia","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q3","Q3-2023",13.050951,,
"ITG1","Sicilia","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q4","Q4-2023",14.238775,,
"ITD3","Veneto","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023","2023",5.173197,,
"ITD3","Veneto","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q1","Q1-2023",5.639781,,
"ITD3","Veneto","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q2","Q2-2023",4.895375,,
"ITD3","Veneto","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q3","Q3-2023",4.911042,,
"ITD3","Veneto","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q4","Q4-2023",5.251667,,
"ITE2","Umbria","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023","2023",7.909048,,
"ITE2","Umbria","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q1","Q1-2023",8.54747,,
"ITE2","Umbria","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q2","Q2-2023",8.474706,,
"ITE2","Umbria","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q3","Q3-2023",8.509327,,
"ITE2","Umbria","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q4","Q4-2023",6.123242,,
"ITF3","Campania","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023","2023",15.503755,,
"ITF3","Campania","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q1","Q1-2023",17.242375,,
"ITF3","Campania","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q2","Q2-2023",14.306194,,
"ITF3","Campania","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q3","Q3-2023",14.958655,,
"ITF3","Campania","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q4","Q4-2023",15.544318,,
"ITF1","Abruzzo","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023","2023",7.533587,,
"ITF1","Abruzzo","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q1","Q1-2023",8.636863,,
"ITF1","Abruzzo","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q2","Q2-2023",7.386177,,
"ITF1","Abruzzo","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q3","Q3-2023",6.932294,,
"ITF1","Abruzzo","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q4","Q4-2023",7.20482,,
"ITC1","Piemonte","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023","2023",7.142674,,
"ITC1","Piemonte","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q1","Q1-2023",7.471202,,
"ITC1","Piemonte","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q2","Q2-2023",6.042357,,
"ITC1","Piemonte","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q3","Q3-2023",7.904764,,
"ITC1","Piemonte","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q4","Q4-2023",7.160329,,
"ITE1","Toscana","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023","2023",4.389276,,
"ITE1","Toscana","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q1","Q1-2023",5.738021,,
"ITE1","Toscana","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q2","Q2-2023",4.358789,,
"ITE1","Toscana","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q3","Q3-2023",3.311751,,
"ITE1","Toscana","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q4","Q4-2023",4.140117,,
"ITF6","Calabria","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023","2023",15.896039,,
"ITF6","Calabria","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q1","Q1-2023",17.605075,,
"ITF6","Calabria","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q2","Q2-2023",15.921585,,
"ITF6","Calabria","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q3","Q3-2023",13.627189,,
"ITF6","Calabria","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q4","Q4-2023",16.343323,,
"ITC3","Liguria","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023","2023",6.102846,,
"ITC3","Liguria","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q1","Q1-2023",6.841453,,
"ITC3","Liguria","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q2","Q2-2023",6.10601,,
"ITC3","Liguria","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q3","Q3-2023",5.679565,,
"ITC3","Liguria","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q4","Q4-2023",5.802919,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023","2023",4.100391,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q1","Q1-2023",4.344464,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q2","Q2-2023",3.963278,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q3","Q3-2023",3.571814,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q4","Q4-2023",4.502378,,
"ITF4","Puglia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023","2023",15.372632,,
"ITF4","Puglia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q1","Q1-2023",17.751561,,
"ITF4","Puglia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q2","Q2-2023",14.852112,,
"ITF4","Puglia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q3","Q3-2023",15.41748,,
"ITF4","Puglia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q4","Q4-2023",13.356576,,
"ITF5","Basilicata","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023","2023",7.486547,,
"ITF5","Basilicata","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q1","Q1-2023",8.758377,,
"ITF5","Basilicata","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q2","Q2-2023",8.825774,,
"ITF5","Basilicata","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q3","Q3-2023",5.1159,,
"ITF5","Basilicata","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q4","Q4-2023",7.285699,,
"ITC3","Liguria","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023","2023",4.933398,,
"ITC3","Liguria","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q1","Q1-2023",6.495652,,
"ITC3","Liguria","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q2","Q2-2023",4.010407,,
"ITC3","Liguria","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q3","Q3-2023",4.711181,,
"ITC3","Liguria","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q4","Q4-2023",4.549059,,
"ITC3","Liguria","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023","2023",7.524483,,
"ITC3","Liguria","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q1","Q1-2023",7.269038,,
"ITC3","Liguria","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q2","Q2-2023",8.61711,,
"ITC3","Liguria","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q3","Q3-2023",6.902396,,
"ITC3","Liguria","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q4","Q4-2023",7.268433,,
"ITF6","Calabria","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023","2023",14.036743,,
"ITF6","Calabria","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q1","Q1-2023",14.899738,,
"ITF6","Calabria","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q2","Q2-2023",14.231675,,
